stage,subject,domain,node_id,name,status,grade,difficulty,prerequisites,extends,curriculum_points,tree_file
elementary,science,物质科学,sci-e-friction,摩擦力,placeholder,5,2,sci-e-push-pull-force,,认识物体有多种运动形式，力可以改变物体的运动状态，运动的物体具有能量，了解日常生活中能存在的不同形式。；运用简单模型描述和解释物体间的相互作用；基于证据论证能的转化与能量守恒，理解其在社会生活中的意义。,data/trees/cn/elementary/science.json
elementary,science,物质科学,sci-e-simple-machines,简单机械（杠杆、滑轮、斜面）,placeholder,6,3,sci-e-friction,,知道生活中常见的力，认识力可以改变物体的形状。；认识物体有多种运动形式，力可以改变物体的运动状态，运动的物体具有能量，了解日常生活中能存在的不同形式。；知道常见简单科技产品的结构决定了其功能，知道简单的制作问题需要定义和界定。,data/trees/cn/elementary/science.json
elementary,science,物质科学,sci-e-energy-forms,能量的多种形式,placeholder,6,3,sci-e-heat-transfer|sci-e-electricity-basic,,认识物体有多种运动形式，力可以改变物体的运动状态，运动的物体具有能量，了解日常生活中能存在的不同形式。；知道自然界存在多种形式的能，不同形式的能可以相互转化；初步了解热能及其传递方式。,data/trees/cn/elementary/science.json
elementary,science,生命科学,sci-e-ecosystem,生物与环境（食物链、食物网）,placeholder,5,3,sci-e-classification,,简单描述生物与生物、生物与环境之间相互依存的关系，以及生物的多样性和进化现象。；认识人与环境之间的相互关系；说明生物多样性和适应性是进化的结果。初步形成生物体的结构与功能、物质与能量、稳定与变化、进化与适应的观念。,data/trees/cn/elementary/science.json
elementary,science,生命科学,sci-e-environment-protection,环境保护与生态平衡,placeholder,6,3,sci-e-ecosystem,,认识生物与环境的相互关系，简单描述生物与生物、生物与环境之间相互依存的关系，以及生物的多样性和进化现象。；热爱自然，具有节约资源、保护环境、推动生态文明建设和可持续发展的责任感。；知道人类生活离不开自然资源，能认识到节约自然资源和保护环境的重要性。,data/trees/cn/elementary/science.json
elementary,science,生命科学,sci-e-human-body-systems,人体主要器官系统,placeholder,4,2,sci-e-animal-features,,认识常见物体的基本外部特征，认识生活中常见的材料；知道生活中常见的力，认识力可以改变物体的形状。；能区分植物和动物的主要特征，并能对植物和动物进行简单分类；认识植物的某些结构、动物的某些结构与行为具有维持自身生存的功能。,data/trees/cn/elementary/science.json
elementary,science,生命科学,sci-e-nutrition-health,饮食、营养与健康,placeholder,5,2,sci-e-human-body-systems,,小学5年级学段目标：理解并掌握「饮食、营养与健康」的基本概念与方法；学业要求：能在真实情境中识别、运用「饮食、营养与健康」解决问题；活动建议：通过观察、实验、练习、讨论等方式深化对「饮食、营养与健康」的理解,data/trees/cn/elementary/science.json
elementary,science,生命科学,sci-e-disease-prevention,疾病预防与卫生习惯,placeholder,6,2,sci-e-nutrition-health,,小学6年级学段目标：理解并掌握「疾病预防与卫生习惯」的基本概念与方法；学业要求：能在真实情境中识别、运用「疾病预防与卫生习惯」解决问题；活动建议：通过观察、实验、练习、讨论等方式深化对「疾病预防与卫生习惯」的理解,data/trees/cn/elementary/science.json
elementary,science,地球与宇宙科学,sci-e-earth-surface-change,地表的变化（侵蚀、沉积、火山、地震）,placeholder,5,3,sci-e-rocks-soil,,小学5年级学段目标：理解并掌握「地表的变化（侵蚀、沉积、火山、地震）」的基本概念与方法；学业要求：能在真实情境中识别、运用「地表的变化（侵蚀、沉积、火山、地震）」解决问题；活动建议：通过观察、实验、练习、讨论等方式深化对「地表的变化（侵蚀、沉积、火山、地震）」的理解,data/trees/cn/elementary/science.json
elementary,science,地球与宇宙科学,sci-e-climate,气候与气候变化,placeholder,6,3,sci-e-seasons|sci-e-water-earth,,小学6年级学段目标：理解并掌握「气候与气候变化」的基本概念与方法；学业要求：能在真实情境中识别、运用「气候与气候变化」解决问题；活动建议：通过观察、实验、练习、讨论等方式深化对「气候与气候变化」的理解,data/trees/cn/elementary/science.json
elementary,science,地球与宇宙科学,sci-e-solar-system,太阳系,placeholder,6,3,sci-e-moon-phases,,知道太阳、地球和月球，知道它们之间的空间关系；知道地球系统由大气圈、水圈、土壤圈、岩石圈和生物圈等构成。；知道太阳、地球和月球的周期性运动以及相关的自然现象，能认识到太空探索拓宽了人类的视野。；知道不同层次的天体系统，认识地球所处的宇宙环境，能运用太阳、地球和月球的相对运动解释相关的自然现象。,data/trees/cn/elementary/science.json
elementary,science,地球与宇宙科学,sci-e-space-exploration,人类的航天探索,placeholder,6,3,sci-e-solar-system,,知道太阳、地球和月球的周期性运动以及相关的自然现象，能认识到太空探索拓宽了人类的视野。；知道不同层次的天体系统，认识地球所处的宇宙环境，能运用太阳、地球和月球的相对运动解释相关的自然现象，关注天文和航天事业的进展。,data/trees/cn/elementary/science.json
elementary,science,技术与工程,sci-e-tools-use,常见工具的使用,placeholder,1,1,sci-e-object-properties,,知道简单工具的功能和使用方法，能利用身边的材料和简单工具动手完成简单的任务，能发现作品中存在的问题并尝试提出解决方案。；掌握常见工具的使用方法；能拆开简单产品并复原，制作某种产品的简化实物模型并反映其中的部分科学原理；能发现作品的不足并进行改进。,data/trees/cn/elementary/science.json
elementary,science,技术与工程,sci-e-design-process,设计与制作（工程设计初步）,placeholder,3,2,sci-e-tools-use,,技术与工程实践能力体现在：了解技术与工程实践的一般过程和方法，针对实际需要明确问题，提出有创意的方案，并根据科学原理或限制条件进行筛选；实施计划，利用工具和材料进行加工制作；根据实际效果进行修改迭代；用自制的简单装置及实物模型验证或展示某些原理、现象和设想。；知道简单工程存在一定约束条件及验收标准。；能利用材料和工具，通过口述、绘画、画图等方式表达自己的想法。,data/trees/cn/elementary/science.json
elementary,science,技术与工程,sci-e-bridge-structure,结构与稳定性（搭建桥梁）,placeholder,4,2,sci-e-design-process,,知道常见简单科技产品的结构决定了其功能，知道简单的制作问题需要定义和界定。；能利用材料和工具，通过口述、绘画、画图等方式表达自己的想法。；知道简单工具的功能和使用方法，能利用身边的材料和简单工具动手完成简单的任务，能发现作品中存在的问题并尝试提出解决方案。,data/trees/cn/elementary/science.json
elementary,science,技术与工程,sci-e-simple-robot,简易机械玩具与机器人入门,placeholder,5,3,sci-e-design-process|sci-e-simple-machines,,技术与工程实践能力体现在：了解技术与工程实践的一般过程和方法，针对实际需要明确问题，提出有创意的方案，并根据科学原理或限制条件进行筛选；实施计划，利用工具和材料进行加工制作；根据实际效果进行修改迭代；用自制的简单装置及实物模型验证或展示某些原理、现象和设想。；掌握常见工具的使用方法；能拆开简单产品并复原，制作某种产品的简化实物模型并反映其中的科学原理；能发现作品的不足并进行改进。；知道简单工程存在一定约束条件及验收标准。,data/trees/cn/elementary/science.json
elementary,science,技术与工程,sci-e-sustainable-engineering,绿色工程与可持续发展,placeholder,6,3,sci-e-bridge-structure|sci-e-environment-protection,,热爱自然，具有节约资源、保护环境、推动生态文明建设和可持续发展的责任感。；知道人类生活离不开自然资源，能认识到节约自然资源和保护环境的重要性。；知道资源短缺、环境污染和生态破坏等问题及其原因，了解解决这些问题的措施，初步形成人地协调的观念。,data/trees/cn/elementary/science.json
high,chinese,语言文字运用,chn-h-idiom-usage-h,成语辨析与运用,gap,10,,,,语言积累、梳理与探究任务群旨在培养学生丰富语言积累、梳理语言现象的习惯，在观察、探索语言文字现象的过程中发现语言文字运用规律。；通过梳理和整合，将积累的语言材料和学习的语文知识结构化，将言语活动经验逐渐转化为具体的学习方法和策略，并能在语言实践中自觉地运用。；能够辨识、分析、比较、归纳和概括基本的语言现象，并能有理有据地表达自己的观点和阐述自己的发现；运用基本的语言规律和逻辑规则，判别语言运用的正误。,data/trees/cn/high/chinese.json
high,chinese,语言文字运用,chn-h-sentence-revision-h,病句修改与句式变换,gap,10,,chn-h-idiom-usage-h,,运用基本的语言规律和逻辑规则，判别语言运用的正误，准确、生动、有逻辑地表达自己的认识。；语言积累、梳理与探究任务群旨在通过观察、探索语言文字现象，发现语言文字运用规律，并能在实践中运用。,data/trees/cn/high/chinese.json
high,chinese,语言文字运用,chn-h-language-expression-h,语言表达简明连贯得体,gap,11,,chn-h-sentence-revision-h,,能凭借语感和对语言运用规律的把握，根据具体的语言情境和不同的对象，运用口头和书面语言文明得体地进行表达与交流。；运用基本的语言规律和逻辑规则，判别语言运用的正误，准确、生动、有逻辑地表达自己的认识。；讲究语言文字表达的效果及美感，具有创新意识。,data/trees/cn/high/chinese.json
high,chinese,现代文阅读,chn-h-info-reading,实用类文本（论述类/信息类）,gap,10,,,,学习任务群的设计着眼于培养语言文字运用基础能力，充分顾及问题导向、跨文化、自主合作、个性化、创造性等因素，并关注语言文字运用的新现象和跨媒介运用的新特点。；学习任务群以自主、合作、探究性学习为主要学习方式，凸显学生学习语文的根本途径。这些学习任务群追求语言、知识、技能和思想情感、文化修养等多方面、多层次目标发展的综合效应。,data/trees/cn/high/chinese.json
high,chinese,现代文阅读,chn-h-literary-reading-h,文学类文本阅读,gap,10,,chn-h-info-reading,,文学阅读与写作（2.5学分）；感受和体验文学作品的语言、形象和情感之美，能欣赏、鉴别和评价不同时代、不同风格的作品，具有正确的价值观、高尚的审美情趣和审美品位。；从最使自己感动的故事、人物、场景、语言等方面入手，反复阅读品味，深入探究，欣赏语言表达的精彩之处，梳理小说的感人场景乃至整体的艺术架构，理清人物关系，感受、欣赏人物形象，探究人物的精神世界，体会小说的主旨，研究小说的艺术价值。,data/trees/cn/high/chinese.json
high,chinese,现代文阅读,chn-h-practical-reading,非连续性实用文本,gap,10,,chn-h-info-reading,,必修课程7个：...'实用性阅读与交流'。；学习任务群的设计着眼于培养语言文字运用基础能力，...覆盖历来语文课程所包含的古今'实用类'...等基本语篇类型。；实用性阅读与交流（1学分）,data/trees/cn/high/chinese.json
high,chinese,现代文阅读,chn-h-literary-deep-analysis,文学类深度鉴赏,gap,11,,chn-h-literary-reading-h|chn-h-practical-reading,,鉴赏文学作品。感受和体验文学作品的语言、形象和情感之美，能欣赏、鉴别和评价不同时代、不同风格的作品，具有正确的价值观、高尚的审美情趣和审美品位。；审美鉴赏与创造是指学生在语文学习中，通过审美体验、评价等活动形成正确的审美意识、健康向上的审美情趣与鉴赏品位，并在此过程中逐步掌握表现美、创造美的方法。；从最使自己感动的故事、人物、场景、语言等方面入手，反复阅读品味，深入探究，欣赏语言表达的精彩之处，梳理小说的感人场景乃至整体的艺术架构，理清人物关系，感受、欣赏人物形象，探究人物的精神世界，体会小说的主旨，研究小说的艺术价值。,data/trees/cn/high/chinese.json
high,chinese,古诗文阅读,chn-h-classical-vocab-h,文言实词,gap,10,,,,语言积累与建构。积累较为丰富的语言材料和言语活动经验，形成良好的语感；在已经积累的语言材料间建立起有机的联系，在探究中理解、掌握祖国语言文字运用的基本规律。；语言梳理与整合。通过梳理和整合，将积累的语言材料和学习的语文知识结构化，将言语活动经验逐渐转化为具体的学习方法和策略，并能在语言实践中自觉地运用。；必修课程7个：“整本书阅读与研讨”“当代文化参与”“跨媒介阅读与交流”“语言积累、梳理与探究”“文学阅读与写作”“思辨性阅读与表达”“实用性阅读与交流”。,data/trees/cn/high/chinese.json
high,chinese,古诗文阅读,chn-h-classical-function-words,文言虚词,gap,10,,chn-h-classical-vocab-h,,语言积累、梳理与探究任务群要求：积累文言文阅读经验，梳理文言词语，掌握其意义和用法。；语言积累与建构目标：积累较为丰富的语言材料和言语活动经验，形成良好的语感；在探究中理解、掌握祖国语言文字运用的基本规律。；语言梳理与整合目标：通过梳理和整合，将积累的语言材料学习的语文知识结构化，将言语活动经验逐渐转化为具体的学习方法和策略。,data/trees/cn/high/chinese.json
high,chinese,古诗文阅读,chn-h-classical-grammar-h,文言句式与语法,gap,10,,chn-h-classical-function-words,,语言积累、梳理与探究任务群要求：在自主修改病句和分析句子结构的过程中，体会汉语句子的结构特点和虚词用法，进一步领悟语法规律。；语言积累、梳理与探究任务群要求：在运用口语和书面语表达的过程中，对比两种语体用词和造句的差别，体会口语与书面语的风格差异。；语言积累、梳理与探究任务群要求：反思和总结自己写作时遣词造句的经验，建构初步的逻辑和修辞知识，提高语用能力，增强表达的个性化。,data/trees/cn/high/chinese.json
high,chinese,古诗文阅读,chn-h-classical-translation-h,文言文翻译,gap,11,,chn-h-classical-grammar-h,,语言建构与运用是指学生在丰富的语言实践中，通过主动的积累、梳理和整合，逐步掌握祖国语言文字特点及其运用规律，形成个体言语经验，发展在具体语言情境中正确有效地运用祖国语言文字进行交流沟通的能力。；能凭借语感和对语言运用规律的把握，根据具体的语言情境和不同的对象，运用口头和书面语言文明得体地进行表达与交流；能将具体的语言文字作品置于特定的交际情境和历史文化情境中理解、分析和评价。；通过梳理和整合，将积累的语言材料和学习的语文知识结构化，将言语活动经验逐渐转化为具体的学习方法和策略，并能在语言实践中自觉地运用。,data/trees/cn/high/chinese.json
high,chinese,古诗文阅读,chn-h-classical-prose-advanced,古文经典精读,gap,11,,chn-h-classical-translation-h,,在阅读过程中，探索阅读整本书的门径，形成和积累自己阅读整本书的经验。重视学习前人的阅读经验，根据不同的阅读目的，综合运用精读、略读与浏览的方法阅读整本书，读懂文本，把握文本丰富的内涵和精髓。；阅读整本书，应以学生利用课内外时间自主阅读、撰写笔记、交流讨论为主，不以教师的讲解代替或限制学生的阅读与思考。教师的主要任务是提出专题学习目标，组织学习活动，引导学生深入思考、讨论与交流。；学生在反复阅读过程中，每读一遍，重点解决一两个问题，有些地方应仔细推敲，有些地方可以略读或浏览。阅读要有笔记，记下自己思考、探索、研究的心得。,data/trees/cn/high/chinese.json
high,chinese,古诗文阅读,chn-h-classical-comprehensive,文言文综合鉴赏,gap,12,,chn-h-classical-prose-advanced,,在阅读过程中，探索阅读整本书的门径，形成和积累自己阅读整本书的经验。重视学习前人的阅读经验，根据不同的阅读目的，综合运用精读、略读与浏览的方法阅读整本书，读懂文本，把握文本丰富的内涵和精髓。；能够辨识、分析、比较、归纳和概括基本的语言现象和文学现象，并能有理有据地表达自己的观点和阐述自己的发现；运用基本的语言规律和逻辑规则，判别语言运用的正误，准确、生动、有逻辑地表达自己的认识；运用批判性思维审视语言文字作品，探究和发现语言现象和文学现象，形成自己对语言和文学的认识。；感受和体验文学作品的语言、形象和情感之美，能欣赏、鉴别和评价不同时代、不同风格的作品，具有正确的价值观、高尚的审美情趣和审美品位。,data/trees/cn/high/chinese.json
high,chinese,古诗文阅读,chn-h-poetry-imagery-h,古诗词意象与意境,gap,10,,chn-h-classical-vocab-h,,鉴赏文学作品。感受和体验文学作品的语言、形象和情感之美，能欣赏、鉴别和评价不同时代、不同风格的作品。；审美鉴赏与创造是指学生在语文学习中，通过审美体验、评价等活动形成正确的审美意识、健康向上的审美情趣与鉴赏品位。；增进对祖国语言文字的美感体验。感受祖国语言文字独特的美，增强热爱祖国语言文字的感情。,data/trees/cn/high/chinese.json
high,chinese,古诗文阅读,chn-h-poetry-expression-h,古诗词表现手法,gap,10,,chn-h-poetry-imagery-h,,鉴赏文学作品。感受和体验文学作品的语言、形象和情感之美，能欣赏、鉴别和评价不同时代、不同风格的作品。；美的表达与创造。能运用祖国语言文字表达自己的审美体验，表达自己的情感、态度和观念，表现和创造自己心中的美好形象。；学习任务群的设计着眼于培养语言文字运用基础能力，充分顾及问题导向、跨文化、自主合作、个性化、创造性等因素。,data/trees/cn/high/chinese.json
high,chinese,古诗文阅读,chn-h-poetry-emotion,古诗词情感主旨,gap,11,,chn-h-poetry-expression-h,,鉴赏文学作品。感受和体验文学作品的语言、形象和情感之美，能欣赏、鉴别和评价不同时代、不同风格的作品。；审美鉴赏与创造是指学生在语文学习中，通过审美体验、评价等活动形成正确的审美意识、健康向上的审美情趣与鉴赏品位。,data/trees/cn/high/chinese.json
high,chinese,古诗文阅读,chn-h-poetry-comparison-h,古诗词比较阅读,gap,12,,chn-h-poetry-emotion,,鉴赏文学作品。感受和体验文学作品的语言、形象和情感之美，能欣赏、鉴别和评价不同时代、不同风格的作品。；学习任务群的设计着眼于培养语言文字运用基础能力，充分顾及问题导向、跨文化、自主合作、个性化、创造性等因素。；在语文学习中，通过审美体验、评价等活动形成正确的审美意识、健康向上的审美情趣与鉴赏品位。,data/trees/cn/high/chinese.json
high,chinese,写作,chn-h-essay-structure-h,作文审题立意与结构,gap,10,,,,能凭借语感和对语言运用规律的把握，根据具体的语言情境和不同的对象，运用口头和书面语言文明得体地进行表达与交流。；讲究语言文字表达的效果及美感，具有创新意识。；学习任务群的设计着眼于培养语言文字运用基础能力，充分顾及问题导向、跨文化、自主合作、个性化、创造性等因素。,data/trees/cn/high/chinese.json
high,chinese,写作,chn-h-argumentative-essay,议论文写作,gap,10,,chn-h-essay-structure-h|chn-h-info-reading,,思辨性阅读与表达（1.5学分）；发展逻辑思维。能够辨识、分析、比较、归纳和概括基本的语言现象和文学现象，并能有理有据地表达自己的观点和阐述自己的发现；运用基本的语言规律和逻辑规则，判别语言运用的正误，准确、生动、有逻辑地表达自己的认识。；学习任务群的设计着眼于培养语言文字运用基础能力，充分顾及问题导向、跨文化、自主合作、个性化、创造性等因素，并关注语言文字运用的新现象和跨媒介运用的新特点。,data/trees/cn/high/chinese.json
high,chinese,写作,chn-h-advanced-composition,高级写作技巧,gap,11,,chn-h-argumentative-essay,,语言表达与交流。能凭借语感和对语言运用规律的把握，根据具体的语言情境和不同的对象，运用口头和书面语言文明得体地进行表达与交流。；美的表达与创造。能运用祖国语言文字表达自己的审美体验，表达自己的情感、态度和观念，表现和创造自己心中的美好形象；讲究语言文字表达的效果及美感，具有创新意识。；发展逻辑思维。能够辨识、分析、比较、归纳和概括基本的语言现象和文学现象，并能有理有据地表达自己的观点和阐述自己的发现；运用基本的语言规律和逻辑规则，判别语言运用的正误，准确、生动、有逻辑地表达自己的认识。,data/trees/cn/high/chinese.json
high,chinese,写作,chn-h-task-driven-writing,任务驱动型作文,gap,11,,chn-h-advanced-composition,,学习任务群的设计着眼于培养语言文字运用基础能力，充分顾及问题导向、跨文化、自主合作、个性化、创造性等因素。；语文课程还应当适应当代社会的发展需要，为培养创新人才发挥重要作用。要引导学生在语言文字运用的过程中发现问题，培养探究意识和发现问题的敏感性，探求解决问题和语言表达的创新路径。；学习任务群以自主、合作、探究性学习为主要学习方式，凸显学生学习语文的根本途径。这些学习任务群追求语言、知识、技能和思想情感、文化修养等多方面、多层次目标发展的综合效应。,data/trees/cn/high/chinese.json
high,chinese,写作,chn-h-gaokao-essay,高考作文综合训练,gap,12,,chn-h-task-driven-writing,,学生通过阅读与鉴赏、表达与交流、梳理与探究等语文学习活动，在语言建构与运用、思维发展与提升、审美鉴赏与创造、文化传承与理解几个方面都获得进一步的发展。；能凭借语感和对语言运用规律的把握，根据具体的语言情境和不同的对象，运用口头和书面语言文明得体地进行表达与交流。；运用基本的语言规律和逻辑规则，判别语言运用的正误，准确、生动、有逻辑地表达自己的认识；运用批判性思维审视语言文字作品，探究和发现语言现象和文学现象。；能运用祖国语言文字表达自己的审美体验，表达自己的情感、态度和观念，表现和创造自己心中的美好形象；讲究语言文字表达的效果及美感，具有创新意识。,data/trees/cn/high/chinese.json
high,chinese,整本书阅读,chn-h-countryside-china,《乡土中国》（学术论著阅读）,gap,10,,chn-h-info-reading,,在指定范围内选择阅读一部学术著作。通读全书，勾画圈点，争取读懂；梳理全书大纲小目及其关联，做出全书内容提要；把握书中的重要观点和作品的价值取向。；通过反复阅读和思考，探究本书的语言特点和论述逻辑。；本任务群在必修阶段安排1学分，18课时。应完成一部长篇小说和一部学术著作的阅读，重在引导学生建构整本书的阅读经验与方法。；阅读整本书，应以学生利用课内外时间自主阅读、撰写笔记、交流讨论为主，不以教师的讲解代替或限制学生的阅读与思考。,data/trees/cn/high/chinese.json
high,chinese,整本书阅读,chn-h-red-chamber,《红楼梦》（长篇小说阅读）,gap,11,,chn-h-countryside-china|chn-h-literary-reading-h,,在指定范围内选择阅读一部长篇小说。通读全书，整体把握其思想内容和艺术特点。从最使自己感动的故事、人物、场景、语言等方面入手，反复阅读品味，深入探究。；梳理小说的感人场景乃至整体的艺术架构，理清人物关系，感受、欣赏人物形象，探究人物的精神世界，体会小说的主旨，研究小说的艺术价值。；联系个人经验，深入理解作品；享受读书的愉悦，从作品中汲取营养，丰富自己的精神世界，逐步形成正确的世界观、人生观和价值观。；阅读整本书，应以学生利用课内外时间自主阅读、撰写笔记、交流讨论为主，不以教师的讲解代替或限制学生的阅读与思考。,data/trees/cn/high/chinese.json
